id;parent;title;subTitle;imageUrl;description;country;code;status
1;Clothing;Shirts;Available (120);https://naarideals.s3.amazonaws.com/categories/Shirt.jpg;Tops - Shirts;usa;SHIRTS;active
2;Clothing;Blouses;Available (120);https://naarideals.s3.amazonaws.com/categories/Blouse.jpeg;Tops - Blouses;usa;WESTERN-BLOUSES;active
3;Clothing;T-Shirts;Available (120);https://naarideals.s3.amazonaws.com/categories/T-Shirt.png;Tops - T-Shirts;usa;TSHIRTS;active
6;Clothing;Leggings;Available (120);https://naarideals.s3.amazonaws.com/categories/Leggings.png;Bottoms - Leggings;usa;LEGGINGS;active
5;Clothing;Pants;Available (120);https://naarideals.s3.amazonaws.com/categories/Pants.png;Bottoms - Pants;usa;PANTS;active
4;Clothing;Jeans;Available (120);https://naarideals.s3.amazonaws.com/categories/Jeans.jpg;Bottoms -Jeans;usa;JEANS;active
11;Clothing;Midi;Available (120);https://naarideals.s3.amazonaws.com/categories/Midi-Dress.jpg;Dresses - Midi;usa;MIDI;active
9;Clothing;Skirts;Available (120);https://naarideals.s3.amazonaws.com/categories/Skirts.jpg;Bottoms - Skirts;usa;SKIRTS;active
12;Clothing;Mini;Available (120);https://naarideals.s3.amazonaws.com/categories/Mini-Dress.png;Dresses - Mini;usa;MINI;active
13;Clothing;Jump Suits;Available (120);https://naarideals.s3.amazonaws.com/categories/Jumpsuit.jpg;Jump Suits;usa;JUMPSTARTS;active
14;Clothing;Jackets;Available (120);https://naarideals.s3.amazonaws.com/categories/Jacket.png;Jackets;usa;JACKETS;active
10;Clothing;Maxi;Available (120);https://naarideals.s3.amazonaws.com/categories/Maxi-Dress.png;Dresses -Maxi;usa;MAXI;active
23;Clothing;Kurti;Available (120);https://naarideals.s3.amazonaws.com/categories/Kurti.png;Kurti;usa;KURTI;active
8;Clothing;Shorts;Available (120);https://naarideals.s3.amazonaws.com/categories/Shorts.jpeg;Bottoms - Shorts;usa;SHORTS;active
15;Clothing;Night Wear;Available (120);https://naarideals.s3.amazonaws.com/categories/Nightwear.jpeg;Night Wear;usa;NIGHTWEAR;active
16;Clothing;Inner Wear;Available (120);https://naarideals.s3.amazonaws.com/categories/Underwear.png;Inner Wear;usa;INNERWEAR;active
7;Clothing;Joggers;Available (120);https://naarideals.s3.amazonaws.com/categories/Joggers.jpeg;Bottoms - Joggers;usa;JOGGERS;active
22;Clothing;Anarkali;Available (120);https://naarideals.s3.amazonaws.com/categories/Anarkali.png;Anarkali;usa;ANARKALI;active
19;Clothing;"Lehenga; Ghagra";Available (120);https://naarideals.s3.amazonaws.com/categories/Lehenga.png;Lehenga;usa;LEHENGA;active
20;Clothing;Ghagra;Available (120);https://naarideals.s3.amazonaws.com/categories/Ghagra.jpg;Ghagra;usa;GAGRA;active
21;Clothing;Skirts;Available (120);https://naarideals.s3.amazonaws.com/categories/Indian-Skirt.png;Skirts;usa;SKIRTS;active
18;Clothing;Blouses;Available (120);https://naarideals.s3.amazonaws.com/categories/Indian-Blouse.png;Blouses;usa;BLOUSES;active
24;Clothing;Duppatta;Available (120);https://naarideals.s3.amazonaws.com/categories/Duppatta.png;Duppatta;usa;DUPATTA;active
17;Clothing;Sarees;Available (120);https://naarideals.s3.amazonaws.com/categories/Saree.png;Sarees;usa;SAREES;active
25;Footwear;Athletic Shoes;Available (120);https://naarideals.s3.amazonaws.com/categories/Athletic-Shoes.png;Athletic Shoes;usa;ATHLETIC-SHOES;active
