id;title;sub_title;icon;bg_color;country;code;status
1;auxiliary port;hacking withdrawal;Metal;Fish;Antarctica (the territory South of 60 deg S);bluetooth Grocery;Refined
2;sensor;projection Plaza focus;Toys pink;Tools;Germany;Uganda Corporate quantify;web-readiness
3;empowering;Carolina Communications Down-sized;Account;UIC-Franc;Nauru;Steel;wireless Fresh Direct
4;Expanded Bedfordshire indexing;Visionary bluetooth;Jewelery zero User-centric;Ergonomic Rubber;Samoa;hack;Facilitator payment
5;Kids;Concrete Avon generating;hacking Lane;invoice Flats synthesize;Sri Lanka;Director grey;Card
6;Neck virtual;Factors Computer azure;parsing;connect;New Caledonia;programming;Rubber Refined invoice
7;Forges withdrawal;PNG;customized Cambridgeshire;Music;Isle of Man;whiteboard recontextualize;one-to-one
8;Facilitator quantify;card complexity Pennsylvania;invoice JBOD;calculating Loan Oman;Haiti;monitor;invoice markets XML
9;strategize SCSI pink;static Research generating;array Ball;well-modulated Loan Money;Uruguay;Metal Auto Mongolia;intangible
10;maroon Spurs;wireless Direct Secured;Berkshire copying;fresh-thinking;Austria;interface bypassing Metal;reboot
