id;title;description;imageUrl;dealUrl;postedBy;postedDate;startDate;endDate;originalPrice;currentPrice;discount;discountType;active;approved;country;city;pinCode;merchant;tags;brand;expired
1;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/1616819_1-0860583001627553361.jpg";https://www.azafashions.com/products/chanderi-silk-anarkali-set/217134;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
2;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/1616821-0184947001627553378.jpg";https://www.azafashions.com/products/handwoven-cotton-silk-anarkali-set/217141;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
3;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/1616832-0942788001627553346.jpg";https://www.azafashions.com/products/chanderi-silk-anarkali-set/217128;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
4;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/1608377-0959711001615550480.jpg";https://www.azafashions.com/products/gota-embroidered-anarkali-set/198797;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
5;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/hopmeera1-0316041001605793755.jpg";https://www.azafashions.com/products/chanderi-kurta-set/185121;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
6;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/ph-1420-0373626001624712340.jpg";https://www.azafashions.com/products/white-mul-cotton-chanderi-printed-anarkali-with-dupatta/213124;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
7;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/minal-blue_2-0130902001645799948.jpg";https://www.azafashions.com/products/minal-georgette-bandhani-print-kurta-set/254703;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
8;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/ph-nr044-0173840001587824466.jpg";https://www.azafashions.com/products/printed-angrakha-with-scarf/162568;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
9;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/ph-1391-0894365001616749342.jpg";https://www.azafashions.com/products/printed-anarkali-with-scarf/200703;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
10;Black Chanderi Embroidered Kurta Set;"Midnight black kurta highlighted with mirror embroidery; V-neckline; gathers at the yoke & straight silhouette. Comes with scallop edged hem pant & organza dupatta.";"https://static3.azafashions.com/tr:w-575;dpr-2;e-sharpen/uploads/product_gallery/dnwk47b-wp6b-dn2_1111-0819856001636620205.jpg";https://www.azafashions.com/products/chanderi-embroidered-kurta-set/233716;monitor non-volatile interface;11/10/2022;11/15/2022;11/30/2022;120;150;20;%;hierarchy;true;Sao Tome and Principe;Lake Orahaven;Botswana;Aza Fashions;Ohio Riel Account;Charkhee;false
