id;title;sub_title;icon;bg_color;country;code;status;display
1;Table Consultant;Turks;tangible indigo sexy;Officer Avon Communications;Norway;virtual 1080p;Books Supervisor Fresh;true
2;Account emulation;Infrastructure Consultant;solid Account;International success Oklahoma;Philippines;gold;Generic Tasty;true
3;violet;Locks Money;asynchronous compress programming;coherent silver;Marshall Islands;Product Industrial;Pants reintermediate;false
4;neural incentivize global;Table;overriding groupware;Group;Guyana;primary Kyat;auxiliary Manager Music;true
5;Mali Island Account;salmon Borders heuristic;Games;Loan;Lebanon;Loan SCSI;Granite Avon;false
6;open-source Singapore Fantastic;function;systems;Central Soft invoice;Trinidad and Tobago;Senior asymmetric;Computers contingency Steel;true
7;Product Unbranded indigo;IB;hacking Buckinghamshire;primary Convertible;Colombia;Pennsylvania;Regional circuit;false
8;GB;Forward THX;disintermediate;Multi-lateral sensor;Cambodia;IB Toys Shirt;Berkshire;false
9;Mandatory;Forward card Auto;Plains Tennessee;Director white;Vietnam;deliver Jewelery;Escudo;true
10;payment;embrace Oregon Norway;yellow Product;Human;Kuwait;incentivize Liaison;program Texas Buckinghamshire;false
