id;title;sub_title;icon;bg_color;country;code;status;display
1;Daily Deals;Available (100);icofont-tags;#028a0f;USA;DAILY;active;true
2;Black Friday;Available(300);icofont-tags;#434a54;USA;BLACKFRIDAY;active;true
3;Christmas;Available(300);icofont-tags;#434a54;USA;CHRISTMAS;in-active;true
4;Upto 50%;Available (150);icofont-sale-discount;#3d64ff;USA;UPTO50;active;true
5;Above 50%;Available (20);icofont-sale-discount;#e74d57;USA;ABOVE50;active;true
6;Clearence;Available(200);icofont-price;#ff3d00;USA;CLEARENCE;active;true
7;Coupons;Available (100);icofont-tags;#028a0f;USA;COUPONS;active;true
8;Merchants;Available (25);icofont-sale-discount;#3d64ff;USA;MERCHANT;active;true
9;Live Sale;Available(300);icofont-tags;#434a54;USA;LIVESALE;active;true
10;Store Sale;Available(300);icofont-tags;#434a54;USA;STORESALE;in-active;true
11;Sale Events;Available (20);icofont-sale-discount;#e74d57;USA;SALEEVE;active;true
12;Combo Sale;Available(200);icofont-price;#ff3d00;USA;COMBOSALE;active;true
13;Boutique;Comming Soon;icofont-price;#c5299b;USA;BOUTIQUE;active;true
