id;code;title;sub_title;address;phone;country;city;image_url;type;location;site_url;status
1;AMAZON;Amazon;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/amazon.png;;On Line;https://www.amazon.com;active
2;AZA;AZA Fashions;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/aza.png;;On Line;https://www.azafashions.com;active
3;BEALLS;Bealls;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/bealls.png;;On Line;https://www.beallsflorida.com;active
4;BOSCOV;Boscov;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/boscov.png;;On Line;https://www.boscovs.com;active
5;BURLING;Burlington;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/burlington.png;;On Line;https://www.burlington.com;active
6;COSTCO;Costco;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/costco.png;;On Line;https://www.costco.com;active
7;DILLARD;Dillards;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/dillards.png;;On Line;https://www.dillards.com;active
8;JCPENNY;JC Penny;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/jcpenny.png;;On Line;https://www.jcpenney.com;active
9;MACY;Macy's;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/macy.png;;On Line;https://www.macys.com;active
10;NDSTROM;Nord Storm;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/nord_storm.png;;On Line;https://www.nordstrom.com;active
11;SAMS;Sams Club;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/sams_club.png;;On Line;https://www.samsclub.com;active
12;SEARS;Sears Outlet;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/sears_outlet.png;;On Line;https://www.sears.com;active
13;TARGET;Target;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/target.png;;On Line;https://www.target.com;active
14;ULTA;Ulta;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/ulta.png;;On Line;https://www.ulta.com;active
15;SEPHORA;Sephora;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/sephora.png;;On Line;https://www.sephora.com;active
16;WALLMART;Wallmart;0;;;usa;usa;https://naarideals.s3.amazonaws.com/merchant/wallmart.png;;On Line;https://www.walmart.com;active
